Time (s), Node Label, Z Position (m), NT (K)
1.0,117,-3974.029296875,319.177001953125
1.0,118,-3979.43798828125,319.2919921875
1.0,119,-3984.65576171875,319.40301513671875
1.0,120,-3989.689697265625,319.510009765625
1.0,121,-3994.5458984375,319.614013671875
1.0,122,-3999.230712890625,319.7139892578125
1.0,123,-4003.75048828125,319.80999755859375
1.0,124,-4008.110595703125,319.90301513671875
1.0,125,-4012.31689453125,319.9930114746094
1.0,126,-4016.375,320.0790100097656
1.0,127,-4020.289794921875,320.1629943847656
1.0,128,-4024.06640625,320.2430114746094
1.0,129,-4027.7099609375,320.3210144042969
1.0,130,-4031.224853515625,320.39599609375
1.0,131,-4034.615966796875,320.4679870605469
1.0,132,-4037.88720703125,320.5379943847656
1.0,133,-4041.043212890625,320.6050109863281
1.0,134,-4044.087646484375,320.6700134277344
1.0,135,-4047.02490234375,320.73199462890625
1.0,136,-4049.8583984375,320.7929992675781
1.0,137,-4052.592041015625,320.85101318359375
1.0,138,-4055.229248046875,320.9070129394531
1.0,139,-4057.7734375,320.96099853515625
1.0,140,-4060.227783203125,321.0140075683594
1.0,141,-4062.595458984375,321.0639953613281
1.0,142,-4064.8798828125,321.1130065917969
1.0,143,-4067.08349609375,321.1600036621094
1.0,144,-4069.20947265625,321.2049865722656
1.0,145,-4071.26025390625,321.2489929199219
1.0,146,-4073.239013671875,321.2909851074219
1.0,147,-4075.147705078125,321.3320007324219
1.0,148,-4076.9892578125,321.3710021972656
1.0,149,-4078.765625,321.40899658203125
1.0,150,-4080.4794921875,321.44500732421875
1.0,151,-4082.1328125,321.4800109863281
1.0,152,-4083.727783203125,321.5140075683594
1.0,153,-4085.2666015625,321.5469970703125
1.0,154,-4086.751220703125,321.5790100097656
1.0,155,-4088.183349609375,321.6090087890625
1.0,156,-4089.56494140625,321.6390075683594
1.0,157,-4090.897705078125,321.6669921875
1.0,158,-4092.18359375,321.69500732421875
1.0,159,-4093.424072265625,321.72100830078125
1.0,160,-4094.62060546875,321.74700927734375
1.0,161,-4095.775146484375,321.77099609375
1.0,162,-4096.88916015625,321.7950134277344
1.0,163,-4097.96337890625,321.8179931640625
1.0,164,-4099.0,321.8399963378906
1.0,632,-2501.0,287.83599853515625
1.0,633,-2502.016845703125,287.85699462890625
1.0,634,-2503.050537109375,287.8789978027344
1.0,635,-2504.1015625,287.9020080566406
1.0,636,-2505.170166015625,287.92401123046875
1.0,637,-2506.256591796875,287.947998046875
1.0,638,-2507.361328125,287.97100830078125
1.0,639,-2508.484375,287.9949951171875
1.0,640,-2509.626220703125,288.0190124511719
